time,dist,stance_time,cycle_time,initialContact,midStance,earlySwing,midSwing,terminalSwing
9,38.9628634744,169,1.1764705882,0.23529411760000002,0.11764705880000001,0.11764705880000001,0.3529411765,0.3529411765
12,53.5663226113,167,1.1881188119,0.23762376240000002,0.11881188120000001,0.11881188120000001,0.3564356436,0.3564356436
14,69.8117118738,166,1.2,0.24,0.12,0.12,0.36,0.36
15,78.1204877527,168,1.2,0.24,0.12,0.12,0.36,0.36
16,86.6704211702,168,1.2121212121,0.24242424240000002,0.12121212120000001,0.12121212120000001,0.3636363636,0.3636363636
19,109.7357601602,169,1.2244897959,0.24489795920000001,0.12244897960000001,0.12244897960000001,0.3673469388,0.3673469388
20,117.0380893541,170,1.2244897959,0.24489795920000001,0.12244897960000001,0.12244897960000001,0.3673469388,0.3673469388
21,131.2049143547,168,1.2371134021,0.2474226804,0.1237113402,0.1237113402,0.3711340206,0.3711340206
22,131.2049143547,168,1.2371134021,0.2474226804,0.1237113402,0.1237113402,0.3711340206,0.3711340206
23,144.9867560859,170,1.2371134021,0.2474226804,0.1237113402,0.1237113402,0.3711340206,0.3711340206
24,144.9867560859,170,1.25,0.25,0.125,0.125,0.375,0.375
25,158.841180721,171,1.25,0.25,0.125,0.125,0.375,0.375
30,184.1414861434,169,1.2765957447,0.2553191489,0.1276595745,0.1276595745,0.3829787234,0.3829787234
31,196.7492660234,167,1.2903225806,0.25806451610000003,0.1290322581,0.1290322581,0.3870967742,0.3870967742
32,196.7492660234,168,1.2903225806,0.25806451610000003,0.1290322581,0.1290322581,0.3870967742,0.3870967742
34,209.2391281481,171,1.2903225806,0.25806451610000003,0.1290322581,0.1290322581,0.3870967742,0.3870967742
36,221.219138034,171,1.2903225806,0.25806451610000003,0.1290322581,0.1290322581,0.3870967742,0.3870967742
38,232.6709035362,174,1.2903225806,0.25806451610000003,0.1290322581,0.1290322581,0.3870967742,0.3870967742
39,238.2171515984,171,1.2903225806,0.25806451610000003,0.1290322581,0.1290322581,0.3870967742,0.3870967742
40,249.0098787306,171,1.2903225806,0.25806451610000003,0.1290322581,0.1290322581,0.3870967742,0.3870967742
41,249.0098787306,172,1.2903225806,0.25806451610000003,0.1290322581,0.1290322581,0.3870967742,0.3870967742
42,259.9079917613,174,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
43,259.9079917613,174,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
44,269.4948087299,173,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
45,273.7526807439,171,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
47,277.9393000909,170,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
50,291.282500774,170,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
51,296.0478232647,171,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
52,305.4259544438,171,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
54,310.92639937,175,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
57,328.899464364,182,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
58,335.5492313678,184,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
60,350.2670320392,183,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
61,357.2739127787,181,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
64,379.1285388484,183,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
69,411.4607133987,180,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
73,434.175979339,186,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
78,461.0451326468,186,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
82,482.450892705,186,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
87,510.2155033881,185,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
91,530.3550921881,188,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
94,543.8956676734,189,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
7,22.0495633908,206,1.2631578947,0.2526315789,0.1263157895,0.1263157895,0.37894736840000004,0.37894736840000004
8,27.219253125,211,1.2631578947,0.2526315789,0.1263157895,0.1263157895,0.37894736840000004,0.37894736840000004
9,32.9056486813,205,1.25,0.25,0.125,0.125,0.375,0.375
10,38.5936487314,199,1.2244897959,0.24489795920000001,0.12244897960000001,0.12244897960000001,0.3673469388,0.3673469388
11,45.4068818986,189,1.2121212121,0.24242424240000002,0.12121212120000001,0.12121212120000001,0.3636363636,0.3636363636
12,52.2160882283,180,1.2,0.24,0.12,0.12,0.36,0.36
13,60.1320011072,180,1.2,0.24,0.12,0.12,0.36,0.36
14,68.0501763807,180,1.2,0.24,0.12,0.12,0.36,0.36
15,75.9160815735,183,1.2121212121,0.24242424240000002,0.12121212120000001,0.12121212120000001,0.3636363636,0.3636363636
16,83.790516286,187,1.2371134021,0.2474226804,0.1237113402,0.1237113402,0.3711340206,0.3711340206
17,91.0264774473,189,1.2371134021,0.2474226804,0.1237113402,0.1237113402,0.3711340206,0.3711340206
18,98.2629867184,192,1.2244897959,0.24489795920000001,0.12244897960000001,0.12244897960000001,0.3673469388,0.3673469388
19,105.4858638344,189,1.2371134021,0.2474226804,0.1237113402,0.1237113402,0.3711340206,0.3711340206
20,112.7087410435,187,1.2371134021,0.2474226804,0.1237113402,0.1237113402,0.3711340206,0.3711340206
21,119.5669229232,191,1.25,0.25,0.125,0.125,0.375,0.375
22,126.4251050741,196,1.2631578947,0.2526315789,0.1263157895,0.1263157895,0.37894736840000004,0.37894736840000004
23,132.2935556587,196,1.2631578947,0.2526315789,0.1263157895,0.1263157895,0.37894736840000004,0.37894736840000004
24,138.1561486224,197,1.2631578947,0.2526315789,0.1263157895,0.1263157895,0.37894736840000004,0.37894736840000004
25,143.0352444806,205,1.2765957447,0.2553191489,0.1276595745,0.1276595745,0.3829787234,0.3829787234
26,147.9073960665,214,1.2903225806,0.25806451610000003,0.1290322581,0.1290322581,0.3870967742,0.3870967742
27,152.1939054668,210,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
28,156.4748486537,207,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
29,161.0276669049,203,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
30,165.5675548318,200,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
31,170.8294213243,206,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
32,176.0849862395,213,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
33,182.004412598,210,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
34,187.9171805036,207,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
35,194.3678645384,206,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
36,200.8125983419,206,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
37,207.4377164807,218,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
38,214.0612800466,230,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
39,220.3497442688,221,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
40,226.638208891,213,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
41,232.1714641373,216,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
42,237.698234541,219,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
43,242.1339751535,217,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
44,246.5697160044,215,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
45,250.0134842477,213,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
46,253.4539339861,211,1.3043478260999999,0.2608695652,0.1304347826,0.1304347826,0.3913043478,0.3913043478
47,256.3436518588,228,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
48,259.2333697424,246,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
49,262.2201424621,226,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
50,265.2109161357,207,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
